transcript,keep
ENST00000390477.2,False
ENST00000611116.2,True
ENST00000633705.1,False
ENST00000632136.1,False
ENST00000622053.4,False
ENST00000436911.6,False
ENST00000443402.6,False
ENST00000466254.1,False
ENST00000390473.1,False
ENST00000390484.1,False
ENST00000390488.1,False
ENST00000390476.1,False
ENST00000390489.1,False
ENST00000390480.2,False
ENST00000390479.2,False
ENST00000390481.1,False
ENST00000390474.1,False
ENST00000390490.1,False
ENST00000390475.1,False
ENST00000390483.1,False
ENST00000390485.1,False
ENST00000390492.1,False
ENST00000390486.1,False
ENST00000390482.1,False
ENST00000390487.1,False
ENST00000390491.1,False
ENST00000390493.1,False
ENST00000390494.1,False
ENST00000390495.1,False
ENST00000390496.1,False
ENST00000390497.1,False
ENST00000390498.1,False
ENST00000612375.1,False
ENST00000614481.1,False
ENST00000390502.1,False
ENST00000390503.1,False
ENST00000390504.1,False
ENST00000390505.1,False
ENST00000390506.1,False
ENST00000390507.1,False
ENST00000390508.1,False
ENST00000390509.1,False
ENST00000390510.1,False
ENST00000390511.1,False
ENST00000390512.2,False
ENST00000390513.1,False
ENST00000390514.1,False
ENST00000390515.1,False
ENST00000390516.1,False
ENST00000390517.1,False
ENST00000390518.1,False
ENST00000390519.1,False
ENST00000390520.1,False
ENST00000390521.1,False
ENST00000390523.1,False
ENST00000390524.1,False
ENST00000390525.1,False
ENST00000390526.1,False
ENST00000390527.1,False
ENST00000390528.1,False
ENST00000390530.1,False
ENST00000390531.1,False
ENST00000390532.1,False
ENST00000390533.1,False
ENST00000390534.1,False
ENST00000390535.2,False
ENST00000390536.2,False
ENST00000390499.1,False
ENST00000632951.1,False
ENST00000633553.1,False
ENST00000633780.1,False
ENST00000632041.1,False
ENST00000634000.1,False
ENST00000633713.1,False
ENST00000390412.1,False
ENST00000390413.1,False
ENST00000390414.1,False
ENST00000390415.1,False
ENST00000390416.1,False
ENST00000390417.1,False
ENST00000390418.1,False
ENST00000390419.1,False
ENST00000633209.1,False
ENST00000632228.1,False
ENST00000633507.1,False
ENST00000631600.1,False
ENST00000633891.1,False
ENST00000633188.1,False
ENST00000632996.1,False
ENST00000633660.1,False
ENST00000633936.1,False
ENST00000634213.1,False
ENST00000631840.1,False
ENST00000634149.1,False
ENST00000631745.1,False
ENST00000633836.1,False
ENST00000390333.1,False
ENST00000390334.1,False
ENST00000390337.1,False
ENST00000390338.2,False
ENST00000390339.1,False
ENST00000622028.1,False
ENST00000604066.1,False
ENST00000390609.3,False
ENST00000390616.2,False
ENST00000390618.2,False
ENST00000390612.3,False
ENST00000390607.2,False
ENST00000632099.1,False
ENST00000390617.2,False
ENST00000390603.2,False
ENST00000390606.3,False
ENST00000390610.2,False
ENST00000390615.2,False
ENST00000603660.1,False
ENST00000632950.2,False
ENST00000390611.2,False
ENST00000390605.2,False
ENST00000438142.3,False
ENST00000390602.3,False
ENST00000390604.2,False
ENST00000390601.3,False
ENST00000390282.2,False
ENST00000390287.2,False
ENST00000390283.2,False
ENST00000390284.2,False
ENST00000390285.4,False
ENST00000390286.3,False
ENST00000390289.2,True
ENST00000390290.3,False
ENST00000390291.2,False
ENST00000427632.2,False
ENST00000390293.1,False
ENST00000390294.2,False
ENST00000390295.3,False
ENST00000390296.2,False
ENST00000390297.3,False
ENST00000390298.2,False
ENST00000390299.2,False
ENST00000390300.2,False
ENST00000390301.3,False
ENST00000632585.1,False
ENST00000632205.1,False
ENST00000632891.1,False
ENST00000633250.1,False
ENST00000631614.2,False
ENST00000633273.1,False
ENST00000632088.2,False
ENST00000632502.1,False
ENST00000632887.1,False
ENST00000632011.1,False
ENST00000632229.1,False
ENST00000632822.1,False
ENST00000631699.1,False
ENST00000633851.1,False
ENST00000631531.1,False
ENST00000633682.1,False
ENST00000632910.1,False
ENST00000634204.1,False
ENST00000632835.1,False
ENST00000632103.1,False
ENST00000631411.1,False
ENST00000632811.1,False
ENST00000632384.1,False
ENST00000634015.1,False
ENST00000633833.1,False
ENST00000632076.1,False
ENST00000633490.1,False
ENST00000632333.1,False
ENST00000632151.1,False
ENST00000632977.1,False
ENST00000612474.2,False
ENST00000633618.1,False
ENST00000631807.1,False
ENST00000632980.1,False
ENST00000631826.1,False
ENST00000632719.1,False
ENST00000633426.1,False
ENST00000631755.1,False
ENST00000631975.1,False
ENST00000633147.1,False
ENST00000631869.1,False
ENST00000633752.1,False
ENST00000390302.3,False
ENST00000631710.1,False
ENST00000390303.3,False
ENST00000632225.1,False
ENST00000632959.1,False
ENST00000620764.2,False
ENST00000633988.1,False
ENST00000632457.1,False
ENST00000619078.2,False
ENST00000390304.2,False
ENST00000390305.2,False
ENST00000632173.1,False
ENST00000633040.1,False
ENST00000390306.2,False
ENST00000632846.1,False
ENST00000390307.2,False
ENST00000390308.2,False
